,Validation_Proj_Ref,True_tot_Carbon,Mode_tot_Carbon,Evidence_vars
0,144,256.7,411,set()
1,144,256.7,378,{'Found_Type'}
2,144,256.7,368,{'Supstr_Type'}
3,144,256.7,409,{'No_storeys'}
4,144,256.7,343,{'GIFA_(m2)'}
5,144,256.7,403,{'Basement'}
6,144,256.7,341,"{'Found_Type', 'Supstr_Type'}"
7,144,256.7,379,"{'No_storeys', 'Found_Type'}"
8,144,256.7,375,"{'No_storeys', 'Supstr_Type'}"
9,144,256.7,376,"{'GIFA_(m2)', 'Found_Type'}"
10,144,256.7,285,"{'GIFA_(m2)', 'Supstr_Type'}"
11,144,256.7,349,"{'No_storeys', 'GIFA_(m2)'}"
12,144,256.7,374,"{'Found_Type', 'Basement'}"
13,144,256.7,364,"{'Basement', 'Supstr_Type'}"
14,144,256.7,399,"{'No_storeys', 'Basement'}"
15,144,256.7,339,"{'GIFA_(m2)', 'Basement'}"
16,144,256.7,341,"{'No_storeys', 'Found_Type', 'Supstr_Type'}"
17,144,256.7,296,"{'GIFA_(m2)', 'Found_Type', 'Supstr_Type'}"
18,144,256.7,387,"{'No_storeys', 'Found_Type', 'GIFA_(m2)'}"
19,144,256.7,288,"{'No_storeys', 'Supstr_Type', 'GIFA_(m2)'}"
20,144,256.7,336,"{'Basement', 'Found_Type', 'Supstr_Type'}"
21,144,256.7,380,"{'No_storeys', 'Found_Type', 'Basement'}"
22,144,256.7,367,"{'No_storeys', 'Basement', 'Supstr_Type'}"
23,144,256.7,369,"{'GIFA_(m2)', 'Found_Type', 'Basement'}"
24,144,256.7,286,"{'GIFA_(m2)', 'Basement', 'Supstr_Type'}"
25,144,256.7,346,"{'No_storeys', 'Basement', 'GIFA_(m2)'}"
26,144,256.7,299,"{'No_storeys', 'Found_Type', 'Supstr_Type', 'GIFA_(m2)'}"
27,144,256.7,334,"{'Basement', 'No_storeys', 'Found_Type', 'Supstr_Type'}"
28,144,256.7,270,"{'Basement', 'GIFA_(m2)', 'Found_Type', 'Supstr_Type'}"
29,144,256.7,380,"{'No_storeys', 'Found_Type', 'Basement', 'GIFA_(m2)'}"
30,144,256.7,289,"{'No_storeys', 'Basement', 'Supstr_Type', 'GIFA_(m2)'}"
31,144,256.7,270,"{'Found_Type', 'Supstr_Type', 'No_storeys', 'GIFA_(m2)', 'Basement'}"
