,Validation_Proj_Ref,True_tot_Carbon,Mode_tot_Carbon,Evidence_vars
0,144,256.7,412,[]
1,144,256.7,368,['Supstr_Type']
2,144,256.7,401,['Basement']
3,144,256.7,341,['GIFA_(m2)']
4,144,256.7,406,['No_storeys']
5,144,256.7,379,['Found_Type']
6,144,256.7,366,"['Basement', 'Supstr_Type']"
7,144,256.7,285,"['GIFA_(m2)', 'Supstr_Type']"
8,144,256.7,339,"['Basement', 'GIFA_(m2)']"
9,144,256.7,375,"['No_storeys', 'Supstr_Type']"
10,144,256.7,399,"['Basement', 'No_storeys']"
11,144,256.7,349,"['GIFA_(m2)', 'No_storeys']"
12,144,256.7,339,"['Found_Type', 'Supstr_Type']"
13,144,256.7,376,"['Basement', 'Found_Type']"
14,144,256.7,377,"['Found_Type', 'GIFA_(m2)']"
15,144,256.7,377,"['Found_Type', 'No_storeys']"
16,144,256.7,287,"['Basement', 'GIFA_(m2)', 'Supstr_Type']"
17,144,256.7,367,"['Basement', 'No_storeys', 'Supstr_Type']"
18,144,256.7,287,"['GIFA_(m2)', 'No_storeys', 'Supstr_Type']"
19,144,256.7,349,"['Basement', 'GIFA_(m2)', 'No_storeys']"
20,144,256.7,336,"['Basement', 'Found_Type', 'Supstr_Type']"
21,144,256.7,280,"['Found_Type', 'GIFA_(m2)', 'Supstr_Type']"
22,144,256.7,369,"['Basement', 'Found_Type', 'GIFA_(m2)']"
23,144,256.7,338,"['Found_Type', 'No_storeys', 'Supstr_Type']"
24,144,256.7,379,"['Basement', 'Found_Type', 'No_storeys']"
25,144,256.7,388,"['Found_Type', 'GIFA_(m2)', 'No_storeys']"
26,144,256.7,313,"['Basement', 'GIFA_(m2)', 'No_storeys', 'Supstr_Type']"
27,144,256.7,270,"['Basement', 'Found_Type', 'GIFA_(m2)', 'Supstr_Type']"
28,144,256.7,336,"['Basement', 'Found_Type', 'No_storeys', 'Supstr_Type']"
29,144,256.7,280,"['Found_Type', 'GIFA_(m2)', 'No_storeys', 'Supstr_Type']"
30,144,256.7,378,"['Basement', 'Found_Type', 'GIFA_(m2)', 'No_storeys']"
31,144,256.7,271,"['Basement', 'Found_Type', 'GIFA_(m2)', 'No_storeys', 'Supstr_Type']"
