Proj_Ref,Calc_Stage,GIFA_(m2),No_storeys,Basement,Found_Type,Supstr_Type,Supstr_Cr_elems,Supstr_uw,Clad_Type,Concr(kg/m2),Masnry&Blwk(m2/m2),Reinf(kg/m2),Steel_Sec(kg/m2),Timber_Prod(kg/m2),Concrete_Carbon_(A1-A5)_(kgCO2e/m2),Masonry_& Blockwork_Carbon_(A1-A5)_(kgCO2e/m2),Reinforcement_Carbon_(A1-A5)_(kgCO2e/m2),Steel_(Sections)_Carbon_(A1-A5)_(kgCO2e/m2),Timber_(Products)_Carbon_(A1-A5)_(kg/m2),Total_Carbon_(A1-A5)_(kgCO2e/m2)
1,Stage_4,6070.594,1_to_3,False,Mass(Pads/Strips),Masonry&Timber,No_elems,medium,Masonry,516.702,4.116,14.718,6.39,33.475,37.7088,116.0068,2.8747,0.694,18.9907,176.2749
3,As_Built,10095.656,1_to_3,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1299.684,0.819,44.464,6.39,33.475,195.5656,30.2956,116.8594,9.0121,0.0,351.7327
7,As_Built,693.11,1_to_3,False,Mass(Pads/Strips),Masonry&Timber,No_elems,medium,Masonry,1691.174,4.116,14.718,19.402,33.475,144.9978,143.8644,10.1397,38.0503,0.0,337.0522
9,As_Built,2045.532,1_to_3,False,Piled(Ground-beams/Caps),Masonry&Concrete,Floors,high,Masonry,777.696,2.47,14.718,6.39,33.475,111.6186,98.4062,37.9554,0.0,0.0,247.9801
10,As_Built,2045.532,1_to_3,True,Reinforced(Pads/Strips/Raft),Masonry&Concrete,Floors,high,Masonry,1169.186,2.47,44.464,6.39,33.475,144.6764,92.0837,97.2469,13.4892,0.0,347.4962
11,Stage_2,2045.532,4_to_6,True,Mass(Pads/Strips),Masonry&Concrete,Floors,high,Masonry,908.192,0.819,44.464,6.39,33.475,173.9164,70.3016,45.1443,4.8917,0.0,294.254
13,Stage_4,693.11,1_to_3,False,Piled(Ground-beams/Caps),Masonry&Timber,No_elems,medium,Masonry,1169.186,7.41,74.107,6.39,33.475,159.1976,323.7914,178.0477,9.1998,11.0518,681.2883
14,As_Built,693.11,1_to_3,False,Piled(Ground-beams/Caps),Masonry&Timber,No_elems,medium,Masonry,777.696,4.116,14.718,6.39,33.475,96.9256,146.4828,60.617,15.4139,0.0,319.4393
16,As_Built,7412.282,7_to_10,True,Reinforced(Pads/Strips/Raft),RC_Frame,Frame&Floors,high,Masonry,908.192,0.819,44.464,6.39,33.475,144.1732,13.7618,121.0091,4.8779,0.0,283.822
18,Stage_5,693.11,4_to_6,True,Reinforced(Pads/Strips/Raft),Masonry&Concrete,Floors,high,Masonry,1299.684,2.47,74.107,6.39,33.475,191.0267,205.0861,149.9267,2.5564,0.0,548.5959
19,As_Built,2045.532,1_to_3,False,Piled(Ground-beams/Caps),Masonry&Concrete,Floors,high,Masonry,647.198,0.819,14.718,6.39,33.475,88.8072,43.3171,45.542,9.6553,0.0,187.3215
24,As_Built,693.11,1_to_3,False,Piled(Ground-beams/Caps),Masonry&Timber,No_elems,medium,Masonry,516.702,2.47,14.718,6.39,33.475,56.9482,59.6753,54.5423,6.7289,5.5184,183.4131
25,Stage_5,693.11,1_to_3,False,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,1560.678,2.47,14.718,58.206,33.475,204.7479,82.3497,28.1171,95.5457,4.3442,415.1045
26,As_Built,693.11,4_to_6,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,2213.162,0.819,103.75,6.39,33.475,288.8591,41.9642,228.8572,0.0,0.0,559.6804
28,As_Built,693.11,1_to_3,False,Piled(Ground-beams/Caps),Masonry&Timber,No_elems,medium,Masonry,385.03,2.47,14.718,6.39,33.475,32.0422,74.094,26.4053,0.0,0.0,132.5414
29,Stage_5,693.11,1_to_3,True,Piled(Ground-beams/Caps),Masonry&Timber,No_elems,medium,Other,1691.174,2.47,74.107,6.39,33.475,234.4795,45.4416,189.3254,15.9184,11.2351,496.4
30,As_Built,693.11,1_to_3,False,Mass(Pads/Strips),Masonry&Concrete,Floors,high,Masonry,908.192,2.47,14.718,19.402,33.475,86.942,73.5348,15.795,20.7353,0.0,197.0071
32,Stage_4,693.11,1_to_3,False,Mass(Pads/Strips),Masonry&Timber,No_elems,medium,Masonry,1038.69,2.47,14.718,19.402,33.475,122.438,70.4971,13.118,33.2154,0.0,239.2685
33,Stage_4,693.11,4_to_6,True,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Masonry,777.696,2.47,44.464,19.402,33.475,102.0053,108.8219,89.2747,33.3391,12.3957,345.8367
34,As_Built,693.11,4_to_6,True,Reinforced(Pads/Strips/Raft),Steel_Frame&Precast/Composite,Floors,medium,Masonry,1299.684,0.819,44.464,19.402,33.475,146.7365,44.0384,119.9819,23.2768,0.0,334.0336
35,Stage_5,693.11,1_to_3,True,Piled(Ground-beams/Caps),Steel_Frame&CLT,No_elems,low,Masonry,2082.664,0.819,74.107,19.402,33.475,271.3592,80.6218,160.6397,28.4128,49.2178,590.2515
38,Stage_5,693.11,1_to_3,False,Piled(Ground-beams/Caps),Masonry&Concrete,Floors,high,Masonry,647.198,2.47,14.718,6.39,33.475,145.9685,85.0401,42.007,10.5165,4.2118,287.7439
39,Stage_2,693.11,1_to_3,False,Reinforced(Pads/Strips/Raft),Masonry&Concrete,Floors,high,Masonry,516.702,2.47,14.718,6.39,33.475,119.1472,72.2686,42.1214,9.3175,2.4792,245.334
40,As_Built,693.11,1_to_3,False,Piled(Ground-beams/Caps),Steel_Frame&CLT,No_elems,low,Masonry,777.696,0.819,14.718,32.336,33.475,110.6276,19.284,35.0662,58.7307,0.0,223.7086
44,Stage_5,7412.282,4_to_6,False,Mass(Pads/Strips),RC_Frame,Frame&Floors,high,Masonry,1169.186,0.819,74.107,6.39,33.475,124.8157,3.8433,156.4229,0.8945,0.0,285.9764
45,Stage_4,4728.906,1_to_3,False,Reinforced(Pads/Strips/Raft),RC_Frame,Frame&Floors,high,Other,1821.671,0.819,163.036,6.39,33.475,238.3384,3.2532,316.7075,17.5064,0.0,575.8055
47,Stage_4,693.11,1_to_3,False,Mass(Pads/Strips),Steel_Frame&CLT,No_elems,low,Other,1169.186,0.819,14.718,32.336,33.475,162.4263,46.2577,1.932,58.2144,14.3604,283.1907
48,As_Built,2045.532,4_to_6,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1691.174,0.819,74.107,6.39,33.475,221.0993,11.1873,164.7431,10.5139,0.0,407.5436
51,Stage_4,693.11,4_to_6,True,Reinforced(Pads/Strips/Raft),Steel_Frame&Precast/Composite,Floors,medium,Masonry,777.696,2.47,14.718,19.402,33.475,103.5142,63.8956,45.1807,24.7934,0.0,237.3839
53,As_Built,3387.218,4_to_6,True,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,647.198,0.819,14.718,71.14,33.475,76.6351,2.5194,47.5242,112.0055,1.3267,240.0108
54,As_Built,693.11,1_to_3,False,Piled(Ground-beams/Caps),Masonry&Timber,No_elems,medium,Masonry,1169.186,2.47,44.464,6.39,33.475,144.4606,62.0316,104.9568,0.0,1.9497,313.3987
57,Stage_5,8753.968,4_to_6,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,1560.678,0.819,74.107,6.39,33.475,212.1153,1.8196,159.444,13.7899,4.0982,391.267
59,Stage_5,693.11,1_to_3,True,Reinforced(Pads/Strips/Raft),Timber_Frame(Glulam&CLT),No_elems,low,Other,777.696,0.819,14.718,6.39,100.828,73.1361,15.8847,28.2094,0.0,74.858,192.0882
60,Stage_4,693.11,4_to_6,True,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Masonry,1038.69,0.819,44.464,19.402,33.475,135.3598,14.2584,118.7148,39.4828,0.0,307.8158
64,As_Built,693.11,1_to_3,False,Mass(Pads/Strips),Masonry&Timber,No_elems,medium,Masonry,908.192,0.819,14.718,6.39,33.475,80.9044,79.7592,6.0492,0.0,11.6825,178.3954
65,Stage_5,693.11,1_to_3,False,Mass(Pads/Strips),Masonry&Timber,No_elems,medium,Other,1299.684,2.47,14.718,6.39,33.475,124.1306,113.6153,23.0382,0.0,0.0,260.7841
66,Stage_5,693.11,1_to_3,False,Piled(Ground-beams/Caps),Masonry&Timber,No_elems,medium,Masonry,908.192,2.47,44.464,6.39,33.475,117.3896,71.3503,72.982,7.7253,20.3048,289.7519
67,Stage_5,693.11,1_to_3,False,Mass(Pads/Strips),Masonry&Timber,No_elems,medium,Masonry,1430.18,2.47,14.718,6.39,33.475,124.3102,55.6974,14.5916,18.1508,9.8662,222.6162
69,Stage_5,693.11,1_to_3,True,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Masonry,1038.69,4.116,14.718,19.402,33.475,145.2965,137.7555,44.9952,26.7226,14.2105,368.9804
71,As_Built,2045.532,1_to_3,False,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,647.198,0.819,14.718,45.272,33.475,73.8168,2.8786,43.4096,80.0915,0.0,200.1965
72,Stage_3,2045.532,4_to_6,True,Mass(Pads/Strips),Timber_Frame(Glulam&CLT),No_elems,low,Masonry,516.702,0.819,14.718,6.39,168.046,72.0971,4.5799,55.6913,3.3391,104.2056,239.913
76,As_Built,2045.532,4_to_6,False,Mass(Pads/Strips),Steel_Frame&Precast/Composite,Floors,medium,Masonry,1169.186,0.819,14.718,58.206,33.475,134.4076,3.0213,10.1367,89.9344,0.0,237.5
79,Stage_5,693.11,1_to_3,False,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Other,385.03,0.819,14.718,32.336,33.475,52.0729,14.1729,19.5481,47.9335,15.756,149.4834
85,As_Built,8753.968,7_to_10,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1430.18,0.819,44.464,6.39,33.475,183.7859,0.371,83.6128,0.0,0.0,267.7697
86,Stage_4,693.11,1_to_3,True,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,1821.671,0.819,103.75,6.39,33.475,246.9148,5.0133,229.6674,0.0,0.0,481.5955
87,As_Built,6070.594,1_to_3,True,Piled(Ground-beams/Caps),Timber_Frame(Glulam&CLT),No_elems,low,Other,1430.18,0.819,74.107,6.39,100.828,149.9613,0.5436,153.6378,0.0,64.2816,368.4243
92,Stage_5,693.11,4_to_6,True,Reinforced(Pads/Strips/Raft),Steel_Frame&Precast/Composite,Floors,medium,Other,1821.671,0.819,192.678,58.206,33.475,248.7529,0.9037,392.056,89.2569,0.0,730.9694
96,As_Built,693.11,1_to_3,True,Mass(Pads/Strips),RC_Frame,Frame&Floors,high,Other,1169.186,0.819,44.464,6.39,33.475,107.2132,2.1679,83.545,15.9811,1.0012,209.9085
98,As_Built,4728.906,1_to_3,False,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1430.18,0.819,44.464,6.39,33.475,164.9487,0.1349,105.2988,4.6028,0.0,274.9851
99,As_Built,693.11,1_to_3,False,Piled(Ground-beams/Caps),Timber_Frame(Glulam&CLT),No_elems,low,Other,777.696,0.819,14.718,6.39,100.828,88.1679,1.7459,54.5801,13.304,33.8202,191.618
