Proj_Ref,Calc_Stage,GIFA_(m2),No_storeys,Basement,Found_Type,Supstr_Type,Supstr_Cr_elems,Supstr_uw,Clad_Type,Concr(kg/m2),Masnry&Blwk(m2/m2),Reinf(kg/m2),Steel_Sec(kg/m2),Timber_Prod(kg/m2),Concrete_Carbon_(A1-A5)_(kgCO2e/m2),Masonry_& Blockwork_Carbon_(A1-A5)_(kgCO2e/m2),Reinforcement_Carbon_(A1-A5)_(kgCO2e/m2),Steel_(Sections)_Carbon_(A1-A5)_(kgCO2e/m2),Timber_(Products)_Carbon_(A1-A5)_(kg/m2),Total_Carbon_(A1-A5)_(kgCO2e/m2)
1,Stage_4,5642,1_to_3,FALSE,Mass(Pads/Strips),Masonry&Timber,No_elems,medium,Masonry,467.838,3.8346,1.3501,0.4342,19.3885,37.7088,116.0068,2.8747,0.694,18.9907,176.2749
3,As_Built,9862,1_to_3,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1319.7104,0.726,54.8807,5.6392,0,195.5656,30.2956,116.8594,9.0121,0,351.7327
7,As_Built,1050,1_to_3,FALSE,Mass(Pads/Strips),Masonry&Timber,No_elems,medium,Masonry,1651.4286,3.6086,4.7619,23.8095,0,144.9978,143.8644,10.1397,38.0503,0,337.0522
9,As_Built,1400,1_to_3,FALSE,Piled(Ground-beams/Caps),Masonry&Concrete,Floors,high,Masonry,839.375,2.425,17.825,0,0,111.6186,98.4062,37.9554,0,0,247.9801
10,As_Built,1534,1_to_3,TRUE,Reinforced(Pads/Strips/Raft),Masonry&Concrete,Floors,high,Masonry,1205.7888,1.9919,45.6701,8.4407,0,144.6764,92.0837,97.2469,13.4892,0,347.4962
11,Stage_2,1700,4_to_6,TRUE,Mass(Pads/Strips),Masonry&Concrete,Floors,high,Masonry,967.9701,1.5544,45.1443,3.0609,0,173.9164,70.3016,45.1443,4.8917,0,294.254
13,Stage_4,300,1_to_3,FALSE,Piled(Ground-beams/Caps),Masonry&Timber,No_elems,medium,Masonry,1187.9167,8.2333,83.6167,5.7567,11.2833,159.1976,323.7914,178.0477,9.1998,11.0518,681.2883
14,As_Built,648,1_to_3,FALSE,Piled(Ground-beams/Caps),Masonry&Timber,No_elems,medium,Masonry,836.8025,3.5247,28.4676,9.6451,0,96.9256,146.4828,60.617,15.4139,0,319.4393
16,As_Built,7922,7_to_10,TRUE,Reinforced(Pads/Strips/Raft),RC_Frame,Frame&Floors,high,Masonry,972.9058,0.2727,56.8296,3.0523,0,144.1732,13.7618,121.0091,4.8779,0,283.822
18,Stage_5,1024,4_to_6,TRUE,Reinforced(Pads/Strips/Raft),Masonry&Concrete,Floors,high,Masonry,1331.5547,1.8945,70.4102,1.5996,0,191.0267,205.0861,149.9267,2.5564,0,548.5959
19,As_Built,2400,1_to_3,FALSE,Piled(Ground-beams/Caps),Masonry&Concrete,Floors,high,Masonry,652.7708,0.8083,21.3879,6.0417,0,88.8072,43.3171,45.542,9.6553,0,187.3215
24,As_Built,950,1_to_3,FALSE,Piled(Ground-beams/Caps),Masonry&Timber,No_elems,medium,Masonry,535.6379,1.8989,25.6147,4.2105,11.6074,56.9482,59.6753,54.5423,6.7289,5.5184,183.4131
25,Stage_5,904,1_to_3,FALSE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,1593.4248,1.9768,13.2046,59.7865,6.3805,204.7479,82.3497,28.1171,95.5457,4.3442,415.1045
26,As_Built,1154,4_to_6,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,2157.2903,1.3354,107.4783,0,0,288.8591,41.9642,228.8572,0,0,559.6804
28,As_Built,544,1_to_3,FALSE,Piled(Ground-beams/Caps),Masonry&Timber,No_elems,medium,Masonry,320.9559,2.5625,12.4007,0,0,32.0422,74.094,26.4053,0,0,132.5414
29,Stage_5,662,1_to_3,TRUE,Piled(Ground-beams/Caps),Masonry&Timber,No_elems,medium,Other,1751.0574,2.0287,88.913,9.9607,15.1057,234.4795,45.4416,189.3254,15.9184,11.2351,496.4
30,As_Built,517,1_to_3,FALSE,Mass(Pads/Strips),Masonry&Concrete,Floors,high,Masonry,921.3075,2.3385,7.4178,12.9749,0,86.942,73.5348,15.795,20.7353,0,197.0071
32,Stage_4,579,1_to_3,FALSE,Mass(Pads/Strips),Masonry&Timber,No_elems,medium,Masonry,978.829,2.038,6.1606,20.7841,0,122.438,70.4971,13.118,33.2154,0,239.2685
33,Stage_4,325,4_to_6,TRUE,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Masonry,762.1231,3.1938,41.9262,20.8615,12.6554,102.0053,108.8219,89.2747,33.3391,12.3957,345.8367
34,As_Built,867,4_to_6,TRUE,Reinforced(Pads/Strips/Raft),Steel_Frame&Precast/Composite,Floors,medium,Masonry,1246.699,1.1188,56.3472,14.5652,0,146.7365,44.0384,119.9819,23.2768,0,334.0336
35,Stage_5,590,1_to_3,TRUE,Piled(Ground-beams/Caps),Steel_Frame&CLT,No_elems,low,Masonry,2138.2556,1.6407,75.4413,17.779,57.8931,271.3592,80.6218,160.6397,28.4128,49.2178,590.2515
38,Stage_5,360,1_to_3,FALSE,Piled(Ground-beams/Caps),Masonry&Concrete,Floors,high,Masonry,691.8333,2.2333,19.7278,6.5806,4.3,145.9685,85.0401,42.007,10.5165,4.2118,287.7439
39,Stage_2,305,1_to_3,FALSE,Reinforced(Pads/Strips/Raft),Masonry&Concrete,Floors,high,Masonry,479.3638,2.4427,19.7815,5.83,2.5311,119.1472,72.2686,42.1214,9.3175,2.4792,245.334
40,As_Built,1100,1_to_3,FALSE,Piled(Ground-beams/Caps),Steel_Frame&CLT,No_elems,low,Masonry,765.5573,0.6518,16.4682,36.75,0,110.6276,19.284,35.0662,58.7307,0,223.7086
44,Stage_5,7284,4_to_6,FALSE,Mass(Pads/Strips),RC_Frame,Frame&Floors,high,Masonry,1147.7429,0.074,73.461,0.5597,0,124.8157,3.8433,156.4229,0.8945,0,285.9764
45,Stage_4,5163,1_to_3,FALSE,Reinforced(Pads/Strips/Raft),RC_Frame,Frame&Floors,high,Other,1789.8848,0.1035,148.7355,10.9544,0,238.3384,3.2532,316.7075,17.5064,0,575.8055
47,Stage_4,431,1_to_3,FALSE,Mass(Pads/Strips),Steel_Frame&CLT,No_elems,low,Other,1196.949,1.0826,0.9073,36.4269,14.6613,162.4263,46.2577,1.932,58.2144,14.3604,283.1907
48,As_Built,1900,4_to_6,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1657.8947,0.2421,77.3684,6.5789,0,221.0993,11.1873,164.7431,10.5139,0,407.5436
51,Stage_4,230,4_to_6,TRUE,Reinforced(Pads/Strips/Raft),Steel_Frame&Precast/Composite,Floors,medium,Masonry,772.1821,1.8219,21.2183,15.5142,0,103.5142,63.8956,45.1807,24.7934,0,237.3839
53,As_Built,3499,4_to_6,TRUE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,625.9631,0.1125,22.3188,70.086,1.9486,76.6351,2.5194,47.5242,112.0055,1.3267,240.0108
54,As_Built,220,1_to_3,FALSE,Piled(Ground-beams/Caps),Masonry&Timber,No_elems,medium,Masonry,1159.0318,1.7182,49.2909,0,2.8636,144.4606,62.0316,104.9568,0,1.9497,313.3987
57,Stage_5,8118,4_to_6,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,1584.0448,0.0436,74.8798,8.6288,6.7156,212.1153,1.8196,159.444,13.7899,4.0982,391.267
59,Stage_5,1250,1_to_3,TRUE,Reinforced(Pads/Strips/Raft),Timber_Frame(Glulam&CLT),No_elems,low,Other,726.132,0.2496,13.248,0,121.5776,73.1361,15.8847,28.2094,0,74.858,192.0882
60,Stage_4,476,4_to_6,TRUE,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Masonry,1010.2227,0.6366,55.7521,24.7059,0,135.3598,14.2584,118.7148,39.4828,0,307.8158
64,As_Built,220,1_to_3,FALSE,Mass(Pads/Strips),Masonry&Timber,No_elems,medium,Masonry,889.0091,1.0818,2.8409,0,11.9273,80.9044,79.7592,6.0492,0,11.6825,178.3954
65,Stage_5,108,1_to_3,FALSE,Mass(Pads/Strips),Masonry&Timber,No_elems,medium,Other,1323.1111,2.1111,10.8194,0,0,124.1306,113.6153,23.0382,0,0,260.7841
66,Stage_5,126,1_to_3,FALSE,Piled(Ground-beams/Caps),Masonry&Timber,No_elems,medium,Masonry,862.8748,1.7582,34.2746,4.834,20.7302,117.3896,71.3503,72.982,7.7253,20.3048,289.7519
67,Stage_5,127,1_to_3,FALSE,Mass(Pads/Strips),Masonry&Timber,No_elems,medium,Masonry,1366.1102,1.7105,6.8527,11.3576,10.0728,124.3102,55.6974,14.5916,18.1508,9.8662,222.6162
69,Stage_5,61,1_to_3,TRUE,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Masonry,1096.5574,3.441,21.1311,16.7213,14.5082,145.2965,137.7555,44.9952,26.7226,14.2105,368.9804
71,As_Built,1643,1_to_3,FALSE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,666.8253,0.0916,20.3865,50.1163,0,73.8168,2.8786,43.4096,80.0915,0,200.1965
72,Stage_3,1620,4_to_6,TRUE,Mass(Pads/Strips),Timber_Frame(Glulam&CLT),No_elems,low,Masonry,538.4099,0.0907,26.1543,2.0894,172.5893,72.0971,4.5799,55.6913,3.3391,104.2056,239.913
76,As_Built,2368,4_to_6,FALSE,Mass(Pads/Strips),Steel_Frame&Precast/Composite,Floors,medium,Masonry,1187.1332,0.0475,4.7605,56.2753,0,134.4076,3.0213,10.1367,89.9344,0,237.5
79,Stage_5,191,1_to_3,FALSE,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Other,442.7946,0.4791,9.1804,29.9938,25.4084,52.0729,14.1729,19.5481,47.9335,15.756,149.4834
85,As_Built,8748,7_to_10,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1372.4848,0.0058,39.2671,0,0,183.7859,0.371,83.6128,0,0,267.7697
86,Stage_4,300,1_to_3,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,1849.1848,0.1695,107.8589,0,0,246.9148,5.0133,229.6674,0,0,481.5955
87,As_Built,5620,1_to_3,TRUE,Piled(Ground-beams/Caps),Timber_Frame(Glulam&CLT),No_elems,low,Other,1470.9431,0.0085,72.153,0,99.2883,149.9613,0.5436,153.6378,0,64.2816,368.4243
92,Stage_5,767,4_to_6,TRUE,Reinforced(Pads/Strips/Raft),Steel_Frame&Precast/Composite,Floors,medium,Other,1884.286,0.0319,184.1215,55.8514,0,248.7529,0.9037,392.056,89.2569,0,730.9694
